

平成１７年,都道府県別生命表,,（年）

表02003　特定死因を除去した場合の平均余命の延び　－青森県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.14,4.11,4.08,3.16,2.07,3.11,3.09,2.98,2.02,1.38
心疾患,1.74,1.71,1.65,1.29,1.07,1.82,1.77,1.75,1.67,1.59
脳血管疾患,1.34,1.32,1.29,1.07,0.92,1.49,1.46,1.45,1.32,1.22
肺炎,0.89,0.87,0.89,0.94,0.98,0.92,0.88,0.88,0.89,0.91
不慮の事故,0.73,0.63,0.46,0.25,0.17,0.41,0.32,0.27,0.18,0.14
（再掲）交通事故,0.27,0.20,0.12,0.05,0.03,0.14,0.09,0.07,0.04,0.02
自殺,1.20,1.14,0.70,0.13,0.05,0.37,0.31,0.19,0.07,0.04
腎不全,0.19,0.16,0.16,0.15,0.13,0.25,0.21,0.21,0.20,0.19
肝疾患,0.29,0.27,0.25,0.09,0.04,0.14,0.11,0.10,0.07,0.05
糖尿病,0.17,0.14,0.14,0.09,0.06,0.16,0.12,0.12,0.11,0.10
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.08,0.04,0.04,0.05,0.04
結核,0.04,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01
３大死因,9.36,9.34,9.24,7.53,5.75,8.32,8.29,8.15,6.86,5.89

