

平成１７年,都道府県別生命表,,（年）

表03003　特定死因を除去した場合の平均余命の延び　－岩手県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.79,3.74,3.70,2.91,1.97,2.84,2.83,2.71,1.86,1.30
心疾患,1.79,1.75,1.69,1.32,1.10,1.75,1.71,1.69,1.61,1.53
脳血管疾患,1.48,1.46,1.44,1.20,1.04,1.65,1.64,1.62,1.50,1.37
肺炎,0.87,0.84,0.84,0.88,0.90,0.82,0.78,0.78,0.79,0.80
不慮の事故,0.78,0.65,0.50,0.29,0.21,0.44,0.35,0.29,0.22,0.18
（再掲）交通事故,0.30,0.23,0.14,0.07,0.03,0.14,0.10,0.07,0.04,0.02
自殺,1.08,1.02,0.67,0.12,0.06,0.42,0.39,0.23,0.10,0.05
腎不全,0.18,0.15,0.15,0.14,0.14,0.21,0.19,0.19,0.18,0.17
肝疾患,0.25,0.22,0.22,0.09,0.04,0.10,0.08,0.08,0.06,0.04
糖尿病,0.16,0.13,0.13,0.08,0.05,0.12,0.10,0.10,0.09,0.07
高血圧性疾患,0.06,0.03,0.03,0.03,0.02,0.06,0.04,0.04,0.04,0.05
結核,0.05,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,9.10,9.07,8.96,7.37,5.74,8.20,8.18,8.03,6.87,5.97

