

平成１７年,都道府県別生命表,,（年）

表04003　特定死因を除去した場合の平均余命の延び　－宮城県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.02,3.97,3.96,3.11,2.10,3.09,3.06,2.94,2.03,1.43
心疾患,1.60,1.58,1.52,1.24,1.04,1.73,1.70,1.67,1.61,1.50
脳血管疾患,1.33,1.32,1.29,1.06,0.91,1.50,1.48,1.48,1.37,1.27
肺炎,0.87,0.85,0.85,0.90,0.92,0.81,0.79,0.78,0.80,0.80
不慮の事故,0.73,0.60,0.45,0.26,0.19,0.38,0.31,0.27,0.21,0.17
（再掲）交通事故,0.30,0.22,0.12,0.05,0.03,0.11,0.07,0.05,0.03,0.02
自殺,0.95,0.90,0.50,0.08,0.03,0.36,0.30,0.18,0.07,0.04
腎不全,0.15,0.14,0.14,0.13,0.12,0.21,0.18,0.18,0.18,0.18
肝疾患,0.22,0.21,0.19,0.08,0.04,0.13,0.10,0.10,0.06,0.04
糖尿病,0.14,0.12,0.12,0.09,0.06,0.14,0.12,0.12,0.10,0.09
高血圧性疾患,0.05,0.03,0.03,0.03,0.03,0.09,0.06,0.06,0.06,0.06
結核,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,8.88,8.85,8.76,7.22,5.60,8.14,8.10,7.96,6.76,5.82

