

平成１７年,都道府県別生命表,,（年）

表05003　特定死因を除去した場合の平均余命の延び　－秋田県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.10,4.05,4.02,3.04,2.00,3.00,2.98,2.81,1.91,1.36
心疾患,1.38,1.33,1.29,1.07,0.94,1.62,1.58,1.56,1.50,1.43
脳血管疾患,1.33,1.29,1.29,1.12,0.96,1.48,1.45,1.45,1.35,1.25
肺炎,0.95,0.91,0.92,0.97,1.01,0.83,0.81,0.81,0.82,0.82
不慮の事故,0.78,0.62,0.50,0.29,0.21,0.48,0.37,0.32,0.25,0.20
（再掲）交通事故,0.32,0.20,0.12,0.05,0.03,0.15,0.08,0.05,0.03,0.02
自殺,1.32,1.22,0.74,0.13,0.05,0.47,0.42,0.25,0.11,0.07
腎不全,0.20,0.14,0.14,0.13,0.12,0.21,0.18,0.18,0.17,0.17
肝疾患,0.26,0.20,0.19,0.07,0.04,0.10,0.07,0.07,0.05,0.03
糖尿病,0.16,0.10,0.10,0.07,0.04,0.14,0.11,0.11,0.09,0.08
高血圧性疾患,0.07,0.02,0.02,0.01,0.01,0.06,0.03,0.03,0.03,0.03
結核,0.07,0.02,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01
３大死因,8.66,8.62,8.57,7.05,5.47,7.88,7.84,7.65,6.50,5.66

