

平成１７年,都道府県別生命表,,（年）

表06003　特定死因を除去した場合の平均余命の延び　－山形県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.90,3.88,3.87,3.07,2.11,2.96,2.94,2.86,1.99,1.40
心疾患,1.61,1.59,1.52,1.22,1.00,1.59,1.56,1.54,1.47,1.38
脳血管疾患,1.26,1.23,1.22,1.03,0.91,1.43,1.42,1.42,1.35,1.28
肺炎,0.93,0.90,0.90,0.94,0.96,0.83,0.81,0.81,0.82,0.82
不慮の事故,0.74,0.63,0.47,0.30,0.21,0.39,0.35,0.30,0.23,0.18
（再掲）交通事故,0.30,0.21,0.12,0.05,0.03,0.11,0.09,0.05,0.03,0.02
自殺,1.08,1.00,0.60,0.10,0.04,0.38,0.34,0.20,0.08,0.04
腎不全,0.15,0.13,0.13,0.13,0.12,0.18,0.16,0.16,0.15,0.15
肝疾患,0.22,0.20,0.19,0.09,0.04,0.12,0.10,0.09,0.07,0.06
糖尿病,0.13,0.11,0.11,0.08,0.05,0.12,0.10,0.10,0.09,0.07
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.06,0.05,0.05,0.05,0.05
結核,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
３大死因,8.65,8.63,8.55,7.11,5.54,7.60,7.58,7.48,6.38,5.49

