

平成１７年,都道府県別生命表,,（年）

表07003　特定死因を除去した場合の平均余命の延び　－福島県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.85,3.82,3.79,2.98,2.00,2.99,2.97,2.85,2.01,1.37
心疾患,1.81,1.78,1.72,1.34,1.11,1.84,1.80,1.78,1.67,1.55
脳血管疾患,1.26,1.24,1.23,1.05,0.91,1.51,1.48,1.48,1.35,1.25
肺炎,0.86,0.84,0.84,0.88,0.89,0.80,0.77,0.77,0.78,0.78
不慮の事故,0.71,0.59,0.43,0.26,0.19,0.41,0.32,0.27,0.21,0.17
（再掲）交通事故,0.31,0.23,0.13,0.06,0.04,0.14,0.09,0.06,0.04,0.02
自殺,1.05,1.00,0.55,0.09,0.04,0.38,0.34,0.18,0.06,0.03
腎不全,0.16,0.14,0.14,0.13,0.12,0.17,0.15,0.15,0.14,0.14
肝疾患,0.22,0.20,0.19,0.08,0.04,0.12,0.09,0.09,0.06,0.05
糖尿病,0.17,0.15,0.15,0.11,0.07,0.16,0.14,0.13,0.11,0.09
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.07,0.04,0.04,0.04,0.05
結核,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,8.91,8.88,8.79,7.25,5.61,8.16,8.14,7.99,6.80,5.80

