

平成１７年,都道府県別生命表,,（年）

表08003　特定死因を除去した場合の平均余命の延び　－茨城県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.00,3.97,3.95,3.12,2.07,3.02,2.98,2.87,1.98,1.37
心疾患,1.66,1.62,1.57,1.26,1.06,1.81,1.76,1.75,1.69,1.58
脳血管疾患,1.33,1.31,1.29,1.06,0.93,1.51,1.49,1.48,1.38,1.28
肺炎,0.90,0.86,0.87,0.91,0.95,0.90,0.88,0.88,0.89,0.89
不慮の事故,0.78,0.65,0.44,0.27,0.21,0.44,0.34,0.31,0.24,0.20
（再掲）交通事故,0.38,0.28,0.14,0.07,0.04,0.15,0.10,0.08,0.05,0.03
自殺,0.84,0.77,0.43,0.08,0.03,0.36,0.32,0.18,0.07,0.03
腎不全,0.16,0.13,0.13,0.13,0.12,0.19,0.16,0.16,0.16,0.15
肝疾患,0.26,0.23,0.22,0.10,0.05,0.14,0.12,0.12,0.09,0.06
糖尿病,0.19,0.16,0.16,0.12,0.07,0.16,0.14,0.14,0.12,0.09
高血圧性疾患,0.06,0.03,0.03,0.03,0.03,0.09,0.06,0.06,0.06,0.07
結核,0.05,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,8.98,8.94,8.87,7.31,5.64,8.17,8.12,7.99,6.82,5.87

