

平成１７年,都道府県別生命表,,（年）

表09003　特定死因を除去した場合の平均余命の延び　－栃木県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.80,3.78,3.77,2.94,1.94,2.93,2.90,2.77,1.87,1.30
心疾患,1.74,1.71,1.64,1.30,1.08,1.76,1.74,1.73,1.63,1.50
脳血管疾患,1.37,1.36,1.35,1.13,0.97,1.56,1.53,1.53,1.42,1.30
肺炎,0.93,0.90,0.91,0.94,0.96,0.95,0.91,0.90,0.92,0.93
不慮の事故,0.74,0.57,0.40,0.25,0.18,0.39,0.32,0.26,0.20,0.16
（再掲）交通事故,0.37,0.27,0.15,0.06,0.04,0.17,0.12,0.08,0.04,0.03
自殺,0.79,0.74,0.43,0.09,0.04,0.33,0.29,0.17,0.06,0.04
腎不全,0.16,0.14,0.15,0.13,0.12,0.19,0.17,0.17,0.17,0.16
肝疾患,0.24,0.23,0.22,0.10,0.04,0.14,0.12,0.12,0.08,0.06
糖尿病,0.17,0.15,0.14,0.11,0.06,0.16,0.13,0.13,0.11,0.09
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.08,0.05,0.05,0.05,0.06
結核,0.04,0.02,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.01
３大死因,8.90,8.90,8.80,7.23,5.53,7.90,7.89,7.74,6.51,5.54

