

平成１７年,都道府県別生命表,,（年）

表10003　特定死因を除去した場合の平均余命の延び　－群馬県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.83,3.81,3.79,3.02,2.01,2.95,2.94,2.83,1.98,1.38
心疾患,1.65,1.62,1.55,1.21,0.98,1.80,1.78,1.77,1.68,1.56
脳血管疾患,1.21,1.19,1.18,1.00,0.90,1.48,1.46,1.45,1.33,1.25
肺炎,1.05,1.03,1.04,1.08,1.12,0.98,0.97,0.97,0.98,0.98
不慮の事故,0.65,0.53,0.39,0.26,0.21,0.39,0.32,0.28,0.23,0.20
（再掲）交通事故,0.31,0.22,0.13,0.06,0.04,0.15,0.10,0.07,0.05,0.03
自殺,0.87,0.82,0.47,0.10,0.05,0.34,0.29,0.17,0.07,0.04
腎不全,0.15,0.14,0.13,0.13,0.11,0.17,0.15,0.15,0.14,0.14
肝疾患,0.23,0.21,0.20,0.09,0.04,0.14,0.13,0.12,0.09,0.06
糖尿病,0.16,0.14,0.13,0.09,0.05,0.14,0.12,0.12,0.10,0.08
高血圧性疾患,0.08,0.06,0.06,0.04,0.04,0.09,0.07,0.07,0.07,0.07
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.39,8.37,8.28,6.82,5.23,8.02,8.00,7.87,6.71,5.76

