

平成１７年,都道府県別生命表,,（年）

表12003　特定死因を除去した場合の平均余命の延び　－千葉県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.02,4.01,3.98,3.08,2.04,3.06,3.02,2.92,2.03,1.42
心疾患,1.81,1.78,1.72,1.38,1.19,1.89,1.86,1.85,1.78,1.67
脳血管疾患,1.18,1.16,1.15,0.96,0.85,1.36,1.34,1.33,1.22,1.13
肺炎,0.97,0.95,0.96,1.01,1.06,0.96,0.93,0.93,0.96,0.97
不慮の事故,0.62,0.51,0.36,0.22,0.17,0.36,0.30,0.25,0.20,0.17
（再掲）交通事故,0.27,0.20,0.10,0.05,0.03,0.11,0.07,0.05,0.03,0.02
自殺,0.70,0.65,0.38,0.07,0.03,0.36,0.31,0.17,0.06,0.03
腎不全,0.16,0.14,0.14,0.14,0.13,0.19,0.16,0.16,0.16,0.15
肝疾患,0.22,0.20,0.19,0.09,0.04,0.13,0.10,0.10,0.07,0.05
糖尿病,0.17,0.15,0.14,0.10,0.06,0.15,0.12,0.12,0.11,0.09
高血圧性疾患,0.06,0.04,0.04,0.04,0.04,0.11,0.08,0.08,0.08,0.08
結核,0.05,0.03,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.01
３大死因,8.95,8.93,8.84,7.24,5.61,8.05,8.02,7.90,6.71,5.76

