

平成１７年,都道府県別生命表,,（年）

表13003　特定死因を除去した場合の平均余命の延び　－東京都－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.26,4.24,4.22,3.29,2.22,3.28,3.25,3.16,2.22,1.56
心疾患,1.64,1.60,1.57,1.30,1.11,1.76,1.73,1.73,1.69,1.61
脳血管疾患,1.18,1.16,1.15,0.96,0.83,1.30,1.28,1.28,1.18,1.10
肺炎,0.97,0.94,0.94,0.99,1.03,0.92,0.89,0.89,0.91,0.93
不慮の事故,0.45,0.37,0.29,0.19,0.15,0.29,0.24,0.21,0.17,0.15
（再掲）交通事故,0.15,0.10,0.05,0.02,0.01,0.07,0.04,0.03,0.02,0.01
自殺,0.67,0.61,0.37,0.08,0.03,0.39,0.35,0.17,0.05,0.02
腎不全,0.17,0.15,0.15,0.14,0.13,0.19,0.17,0.17,0.17,0.16
肝疾患,0.35,0.33,0.32,0.12,0.05,0.15,0.13,0.13,0.09,0.06
糖尿病,0.17,0.15,0.14,0.10,0.07,0.14,0.12,0.12,0.11,0.09
高血圧性疾患,0.06,0.04,0.04,0.04,0.04,0.08,0.06,0.06,0.06,0.06
結核,0.06,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02
３大死因,9.00,8.98,8.91,7.35,5.68,8.20,8.17,8.08,6.90,5.93

