

平成１７年,都道府県別生命表,,（年）

表15003　特定死因を除去した場合の平均余命の延び　－新潟県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.24,4.21,4.19,3.25,2.18,3.13,3.09,3.00,2.09,1.50
心疾患,1.52,1.48,1.42,1.13,0.96,1.60,1.58,1.56,1.51,1.43
脳血管疾患,1.33,1.31,1.30,1.12,1.02,1.53,1.51,1.50,1.44,1.36
肺炎,0.82,0.79,0.79,0.84,0.85,0.72,0.69,0.69,0.70,0.70
不慮の事故,0.79,0.64,0.50,0.32,0.23,0.47,0.41,0.37,0.30,0.24
（再掲）交通事故,0.30,0.21,0.13,0.06,0.03,0.13,0.11,0.08,0.06,0.03
自殺,0.98,0.91,0.59,0.12,0.06,0.39,0.34,0.22,0.10,0.06
腎不全,0.12,0.10,0.10,0.10,0.09,0.17,0.14,0.14,0.14,0.13
肝疾患,0.21,0.18,0.17,0.07,0.03,0.12,0.10,0.09,0.06,0.04
糖尿病,0.15,0.12,0.11,0.09,0.06,0.13,0.11,0.11,0.10,0.09
高血圧性疾患,0.07,0.04,0.04,0.04,0.04,0.10,0.08,0.08,0.08,0.08
結核,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,9.15,9.13,9.04,7.47,5.86,8.18,8.17,8.04,6.92,6.06

