

平成１７年,都道府県別生命表,,（年）

表16003　特定死因を除去した場合の平均余命の延び　－富山県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.98,3.95,3.91,3.08,2.05,3.07,3.03,2.94,2.09,1.51
心疾患,1.30,1.27,1.21,0.98,0.85,1.53,1.49,1.47,1.42,1.36
脳血管疾患,1.19,1.17,1.16,1.03,0.92,1.45,1.44,1.43,1.34,1.27
肺炎,1.04,1.03,1.04,1.10,1.12,0.98,0.97,0.97,0.99,1.02
不慮の事故,0.83,0.69,0.52,0.35,0.27,0.49,0.44,0.37,0.30,0.24
（再掲）交通事故,0.29,0.21,0.12,0.05,0.04,0.16,0.13,0.09,0.06,0.03
自殺,0.83,0.81,0.49,0.12,0.06,0.42,0.40,0.24,0.10,0.05
腎不全,0.15,0.13,0.13,0.12,0.10,0.20,0.18,0.19,0.18,0.18
肝疾患,0.24,0.22,0.21,0.10,0.05,0.10,0.09,0.09,0.07,0.05
糖尿病,0.17,0.15,0.14,0.10,0.07,0.13,0.11,0.11,0.10,0.09
高血圧性疾患,0.07,0.05,0.04,0.04,0.03,0.07,0.06,0.06,0.06,0.06
結核,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
３大死因,8.06,8.02,7.92,6.60,5.10,7.85,7.79,7.68,6.60,5.79

