

平成１７年,都道府県別生命表,,（年）

表18003　特定死因を除去した場合の平均余命の延び　－福井県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.79,3.75,3.75,2.94,1.97,3.08,3.05,2.98,2.16,1.54
心疾患,1.57,1.53,1.46,1.16,0.99,1.66,1.65,1.63,1.59,1.50
脳血管疾患,1.03,1.00,0.98,0.85,0.78,1.30,1.29,1.28,1.19,1.12
肺炎,0.98,0.95,0.95,0.99,1.01,0.95,0.92,0.92,0.94,0.94
不慮の事故,0.88,0.74,0.53,0.34,0.23,0.52,0.43,0.36,0.30,0.24
（再掲）交通事故,0.34,0.25,0.13,0.07,0.04,0.16,0.11,0.08,0.06,0.04
自殺,0.73,0.66,0.45,0.09,0.05,0.33,0.30,0.18,0.08,0.04
腎不全,0.16,0.13,0.12,0.12,0.11,0.20,0.18,0.18,0.17,0.16
肝疾患,0.21,0.18,0.17,0.08,0.04,0.14,0.12,0.12,0.08,0.06
糖尿病,0.16,0.12,0.12,0.09,0.06,0.15,0.13,0.13,0.12,0.09
高血圧性疾患,0.06,0.02,0.02,0.02,0.02,0.07,0.05,0.05,0.05,0.05
結核,0.05,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,7.98,7.95,7.85,6.50,5.08,7.77,7.77,7.66,6.62,5.73

