

平成１７年,都道府県別生命表,,（年）

表20003　特定死因を除去した場合の平均余命の延び　－長野県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.59,3.56,3.54,2.76,1.90,2.85,2.83,2.75,1.93,1.38
心疾患,1.55,1.51,1.44,1.16,0.99,1.60,1.58,1.56,1.51,1.44
脳血管疾患,1.39,1.37,1.36,1.20,1.08,1.68,1.67,1.67,1.58,1.49
肺炎,0.81,0.78,0.79,0.81,0.82,0.69,0.66,0.66,0.66,0.66
不慮の事故,0.75,0.61,0.46,0.30,0.21,0.43,0.35,0.30,0.23,0.19
（再掲）交通事故,0.31,0.20,0.11,0.05,0.03,0.14,0.09,0.06,0.04,0.02
自殺,0.88,0.83,0.46,0.08,0.04,0.35,0.32,0.17,0.06,0.04
腎不全,0.14,0.12,0.12,0.11,0.10,0.15,0.13,0.14,0.13,0.12
肝疾患,0.23,0.21,0.20,0.09,0.04,0.10,0.09,0.08,0.05,0.04
糖尿病,0.14,0.12,0.11,0.08,0.05,0.11,0.09,0.09,0.08,0.07
高血圧性疾患,0.06,0.03,0.03,0.03,0.03,0.07,0.06,0.06,0.06,0.07
結核,0.04,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
３大死因,8.33,8.30,8.21,6.87,5.50,8.05,8.04,7.94,6.88,6.05

