

平成１７年,都道府県別生命表,,（年）

表21003　特定死因を除去した場合の平均余命の延び　－岐阜県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.83,3.79,3.77,2.90,1.91,2.92,2.90,2.81,1.96,1.35
心疾患,1.71,1.67,1.62,1.31,1.11,1.91,1.88,1.87,1.80,1.69
脳血管疾患,1.09,1.05,1.04,0.89,0.77,1.33,1.31,1.30,1.19,1.10
肺炎,0.88,0.85,0.85,0.89,0.90,0.79,0.76,0.76,0.77,0.78
不慮の事故,0.84,0.65,0.46,0.29,0.22,0.43,0.34,0.30,0.24,0.20
（再掲）交通事故,0.37,0.25,0.13,0.06,0.04,0.15,0.10,0.07,0.05,0.03
自殺,0.78,0.70,0.44,0.10,0.04,0.38,0.33,0.20,0.08,0.04
腎不全,0.18,0.15,0.15,0.14,0.13,0.19,0.17,0.17,0.16,0.15
肝疾患,0.21,0.18,0.17,0.09,0.04,0.15,0.12,0.12,0.08,0.06
糖尿病,0.14,0.11,0.11,0.08,0.05,0.14,0.11,0.11,0.10,0.08
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.07,0.04,0.04,0.04,0.04
結核,0.06,0.03,0.03,0.03,0.02,0.04,0.01,0.01,0.01,0.01
３大死因,8.25,8.21,8.13,6.64,5.08,7.92,7.90,7.79,6.66,5.72

