

平成１７年,都道府県別生命表,,（年）

表22003　特定死因を除去した場合の平均余命の延び　－静岡県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.90,3.87,3.83,3.00,1.97,2.91,2.88,2.78,1.91,1.32
心疾患,1.56,1.53,1.47,1.21,1.01,1.72,1.68,1.66,1.62,1.52
脳血管疾患,1.25,1.23,1.21,1.01,0.90,1.43,1.41,1.40,1.28,1.19
肺炎,0.87,0.84,0.85,0.89,0.91,0.79,0.76,0.76,0.77,0.78
不慮の事故,0.67,0.55,0.41,0.25,0.20,0.42,0.35,0.31,0.25,0.21
（再掲）交通事故,0.28,0.22,0.11,0.05,0.03,0.15,0.10,0.08,0.05,0.03
自殺,0.74,0.70,0.41,0.08,0.03,0.31,0.27,0.15,0.05,0.02
腎不全,0.19,0.17,0.17,0.16,0.15,0.20,0.18,0.18,0.18,0.17
肝疾患,0.21,0.19,0.18,0.08,0.04,0.13,0.10,0.10,0.07,0.04
糖尿病,0.16,0.14,0.14,0.10,0.06,0.15,0.13,0.12,0.11,0.09
高血圧性疾患,0.06,0.03,0.03,0.03,0.04,0.09,0.07,0.07,0.07,0.07
結核,0.05,0.03,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.34,8.31,8.20,6.74,5.15,7.61,7.57,7.44,6.30,5.40

