

平成１７年,都道府県別生命表,,（年）

表23003　特定死因を除去した場合の平均余命の延び　－愛知県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.96,3.93,3.90,2.98,1.94,3.03,2.99,2.90,2.03,1.40
心疾患,1.62,1.59,1.54,1.27,1.08,1.83,1.82,1.80,1.73,1.64
脳血管疾患,1.11,1.09,1.08,0.91,0.78,1.29,1.28,1.28,1.17,1.08
肺炎,0.92,0.90,0.90,0.95,0.98,0.86,0.84,0.84,0.86,0.87
不慮の事故,0.64,0.52,0.38,0.25,0.21,0.41,0.35,0.31,0.26,0.22
（再掲）交通事故,0.28,0.20,0.10,0.05,0.03,0.13,0.09,0.07,0.05,0.03
自殺,0.67,0.62,0.37,0.08,0.04,0.32,0.29,0.17,0.06,0.03
腎不全,0.17,0.15,0.15,0.14,0.13,0.19,0.17,0.17,0.17,0.16
肝疾患,0.21,0.19,0.19,0.09,0.04,0.12,0.11,0.10,0.08,0.06
糖尿病,0.13,0.11,0.10,0.08,0.05,0.12,0.10,0.10,0.09,0.07
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.06,0.05,0.05,0.05,0.05
結核,0.05,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02
３大死因,8.39,8.36,8.27,6.74,5.12,7.86,7.84,7.71,6.57,5.63

