

平成１７年,都道府県別生命表,,（年）

表24003　特定死因を除去した場合の平均余命の延び　－三重県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.64,3.61,3.60,2.72,1.78,2.78,2.74,2.65,1.86,1.28
心疾患,1.58,1.56,1.51,1.20,0.99,1.70,1.68,1.67,1.60,1.50
脳血管疾患,1.07,1.05,1.04,0.92,0.82,1.30,1.29,1.29,1.20,1.13
肺炎,0.91,0.86,0.87,0.90,0.94,0.78,0.76,0.76,0.77,0.78
不慮の事故,0.84,0.72,0.49,0.29,0.20,0.52,0.44,0.36,0.28,0.21
（再掲）交通事故,0.41,0.33,0.18,0.08,0.04,0.19,0.15,0.09,0.06,0.03
自殺,0.68,0.64,0.39,0.08,0.03,0.33,0.30,0.17,0.05,0.03
腎不全,0.17,0.15,0.15,0.14,0.13,0.21,0.20,0.20,0.19,0.18
肝疾患,0.21,0.19,0.18,0.09,0.05,0.10,0.09,0.08,0.06,0.05
糖尿病,0.15,0.13,0.13,0.09,0.06,0.15,0.13,0.13,0.12,0.09
高血圧性疾患,0.05,0.03,0.03,0.03,0.03,0.08,0.06,0.06,0.06,0.06
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01
３大死因,7.75,7.72,7.65,6.19,4.71,7.26,7.22,7.12,6.10,5.21

