

平成１７年,都道府県別生命表,,（年）

表25003　特定死因を除去した場合の平均余命の延び　－滋賀県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.99,3.98,3.96,3.10,2.11,3.01,2.99,2.91,2.10,1.51
心疾患,1.45,1.41,1.37,1.15,1.02,1.74,1.72,1.70,1.68,1.61
脳血管疾患,1.02,1.00,0.99,0.83,0.72,1.21,1.20,1.20,1.11,1.02
肺炎,1.01,0.97,0.98,1.03,1.06,0.82,0.79,0.79,0.79,0.80
不慮の事故,0.64,0.56,0.41,0.29,0.23,0.43,0.37,0.31,0.26,0.21
（再掲）交通事故,0.28,0.22,0.13,0.07,0.04,0.15,0.11,0.08,0.05,0.03
自殺,0.72,0.66,0.40,0.09,0.03,0.34,0.30,0.18,0.07,0.03
腎不全,0.16,0.14,0.14,0.14,0.14,0.21,0.19,0.19,0.19,0.18
肝疾患,0.19,0.17,0.17,0.09,0.04,0.11,0.09,0.09,0.06,0.05
糖尿病,0.13,0.11,0.11,0.08,0.06,0.13,0.11,0.11,0.10,0.09
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.08,0.06,0.06,0.06,0.06
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.01
３大死因,8.26,8.24,8.17,6.81,5.39,7.66,7.66,7.55,6.55,5.68

