

平成１７年,都道府県別生命表,,（年）

表26003　特定死因を除去した場合の平均余命の延び　－京都府－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.21,4.18,4.16,3.23,2.14,3.22,3.19,3.12,2.22,1.56
心疾患,1.63,1.60,1.55,1.25,1.04,1.87,1.85,1.83,1.77,1.64
脳血管疾患,1.06,1.04,1.03,0.86,0.75,1.19,1.18,1.17,1.10,1.03
肺炎,0.95,0.92,0.92,0.97,1.01,0.89,0.87,0.87,0.89,0.89
不慮の事故,0.54,0.43,0.31,0.19,0.14,0.30,0.26,0.23,0.17,0.15
（再掲）交通事故,0.25,0.19,0.10,0.04,0.02,0.10,0.08,0.06,0.04,0.02
自殺,0.70,0.65,0.38,0.07,0.03,0.34,0.31,0.16,0.06,0.02
腎不全,0.17,0.15,0.15,0.15,0.14,0.23,0.22,0.22,0.22,0.21
肝疾患,0.21,0.19,0.18,0.08,0.05,0.13,0.11,0.11,0.07,0.05
糖尿病,0.13,0.11,0.10,0.08,0.06,0.11,0.10,0.10,0.09,0.08
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.06,0.05,0.05,0.05,0.05
結核,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
３大死因,8.69,8.66,8.58,7.01,5.35,8.03,8.00,7.90,6.76,5.77

