

平成１７年,都道府県別生命表,,（年）

表27003　特定死因を除去した場合の平均余命の延び　－大阪府－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.43,4.41,4.39,3.41,2.28,3.34,3.32,3.24,2.28,1.60
心疾患,1.57,1.54,1.50,1.17,0.99,1.90,1.87,1.85,1.78,1.68
脳血管疾患,0.93,0.91,0.90,0.77,0.67,1.11,1.10,1.09,1.01,0.96
肺炎,1.05,1.03,1.03,1.08,1.13,1.06,1.04,1.03,1.06,1.08
不慮の事故,0.55,0.46,0.33,0.21,0.16,0.34,0.28,0.25,0.20,0.16
（再掲）交通事故,0.21,0.15,0.07,0.03,0.01,0.09,0.05,0.04,0.02,0.01
自殺,0.74,0.70,0.43,0.09,0.04,0.37,0.33,0.17,0.05,0.02
腎不全,0.18,0.16,0.16,0.16,0.15,0.24,0.22,0.22,0.22,0.21
肝疾患,0.35,0.33,0.32,0.13,0.06,0.18,0.16,0.15,0.11,0.07
糖尿病,0.16,0.14,0.14,0.10,0.06,0.14,0.12,0.12,0.10,0.08
高血圧性疾患,0.10,0.07,0.07,0.06,0.05,0.11,0.09,0.09,0.09,0.08
結核,0.07,0.05,0.05,0.04,0.03,0.04,0.02,0.02,0.02,0.02
３大死因,8.62,8.61,8.53,6.93,5.27,8.14,8.11,8.01,6.80,5.84

