

平成１７年,都道府県別生命表,,（年）

表28003　特定死因を除去した場合の平均余命の延び　－兵庫県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.35,4.32,4.31,3.35,2.20,3.18,3.16,3.06,2.19,1.53
心疾患,1.50,1.47,1.42,1.15,0.99,1.79,1.77,1.76,1.70,1.63
脳血管疾患,1.00,0.98,0.96,0.83,0.74,1.15,1.14,1.14,1.06,1.00
肺炎,0.94,0.92,0.92,0.96,1.00,0.90,0.88,0.89,0.90,0.92
不慮の事故,0.71,0.59,0.42,0.26,0.21,0.44,0.36,0.31,0.25,0.21
（再掲）交通事故,0.30,0.23,0.12,0.05,0.03,0.13,0.09,0.06,0.03,0.02
自殺,0.77,0.72,0.42,0.09,0.04,0.39,0.34,0.18,0.06,0.03
腎不全,0.18,0.15,0.16,0.15,0.14,0.22,0.20,0.20,0.20,0.20
肝疾患,0.30,0.28,0.27,0.11,0.05,0.15,0.13,0.13,0.09,0.06
糖尿病,0.17,0.14,0.14,0.11,0.07,0.15,0.13,0.13,0.11,0.10
高血圧性疾患,0.05,0.03,0.03,0.03,0.02,0.07,0.06,0.06,0.06,0.06
結核,0.05,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.53,8.51,8.44,6.92,5.28,7.77,7.75,7.64,6.55,5.62

