

平成１７年,都道府県別生命表,,（年）

表29003　特定死因を除去した場合の平均余命の延び　－奈良県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.42,4.39,4.35,3.39,2.26,3.07,3.04,2.96,2.11,1.49
心疾患,1.76,1.73,1.65,1.37,1.19,2.02,1.97,1.97,1.90,1.78
脳血管疾患,0.90,0.88,0.87,0.77,0.73,1.16,1.14,1.14,1.09,1.05
肺炎,0.93,0.91,0.91,0.95,0.99,0.97,0.94,0.94,0.95,0.95
不慮の事故,0.65,0.52,0.35,0.21,0.17,0.37,0.31,0.25,0.22,0.18
（再掲）交通事故,0.28,0.21,0.10,0.04,0.02,0.10,0.07,0.05,0.03,0.02
自殺,0.67,0.63,0.34,0.07,0.03,0.36,0.33,0.18,0.06,0.03
腎不全,0.13,0.11,0.12,0.12,0.12,0.19,0.17,0.17,0.17,0.15
肝疾患,0.21,0.19,0.19,0.10,0.05,0.13,0.11,0.11,0.07,0.05
糖尿病,0.13,0.11,0.11,0.08,0.06,0.12,0.11,0.11,0.09,0.07
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.07,0.06,0.06,0.06,0.06
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,9.22,9.19,9.07,7.58,5.98,8.15,8.10,8.02,6.94,6.06

