

平成１７年,都道府県別生命表,,（年）

表30003　特定死因を除去した場合の平均余命の延び　－和歌山県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.23,4.19,4.19,3.20,2.08,3.11,3.10,2.98,2.01,1.39
心疾患,1.77,1.74,1.68,1.29,1.09,1.85,1.84,1.81,1.72,1.61
脳血管疾患,0.89,0.86,0.85,0.75,0.66,1.14,1.14,1.13,1.06,1.00
肺炎,0.85,0.83,0.84,0.88,0.91,0.83,0.82,0.82,0.84,0.84
不慮の事故,0.82,0.63,0.43,0.26,0.19,0.41,0.38,0.32,0.26,0.21
（再掲）交通事故,0.34,0.24,0.12,0.05,0.03,0.12,0.10,0.06,0.05,0.02
自殺,0.75,0.72,0.48,0.11,0.04,0.35,0.33,0.20,0.05,0.03
腎不全,0.19,0.16,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.16
肝疾患,0.29,0.26,0.25,0.10,0.05,0.12,0.11,0.11,0.08,0.06
糖尿病,0.13,0.11,0.10,0.08,0.05,0.10,0.10,0.10,0.09,0.07
高血圧性疾患,0.06,0.04,0.04,0.03,0.03,0.05,0.04,0.04,0.04,0.04
結核,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01
３大死因,8.51,8.48,8.41,6.77,5.08,7.70,7.68,7.53,6.27,5.38

