

平成１７年,都道府県別生命表,,（年）

表31003　特定死因を除去した場合の平均余命の延び　－鳥取県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.19,4.17,4.14,3.05,1.97,3.09,3.04,2.96,2.09,1.42
心疾患,1.55,1.50,1.49,1.23,1.07,1.74,1.71,1.69,1.63,1.56
脳血管疾患,1.19,1.16,1.15,1.01,0.92,1.48,1.44,1.44,1.33,1.24
肺炎,0.83,0.80,0.81,0.85,0.88,0.77,0.74,0.74,0.76,0.75
不慮の事故,0.82,0.71,0.50,0.30,0.21,0.45,0.39,0.31,0.26,0.21
（再掲）交通事故,0.34,0.27,0.13,0.07,0.04,0.16,0.12,0.06,0.05,0.03
自殺,0.90,0.87,0.51,0.09,0.03,0.33,0.28,0.17,0.05,0.03
腎不全,0.18,0.15,0.16,0.15,0.13,0.21,0.18,0.18,0.18,0.16
肝疾患,0.23,0.20,0.19,0.09,0.03,0.11,0.08,0.08,0.05,0.03
糖尿病,0.18,0.16,0.15,0.11,0.07,0.14,0.10,0.10,0.09,0.06
高血圧性疾患,0.06,0.03,0.03,0.03,0.04,0.09,0.06,0.06,0.06,0.05
結核,0.05,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.02,0.01
３大死因,8.77,8.75,8.70,7.05,5.45,8.16,8.12,8.02,6.87,5.92

