

平成１７年,都道府県別生命表,,（年）

表32003　特定死因を除去した場合の平均余命の延び　－島根県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.19,4.18,4.16,3.14,2.09,3.03,3.01,2.92,2.06,1.47
心疾患,1.52,1.48,1.40,1.14,0.97,1.78,1.76,1.73,1.64,1.55
脳血管疾患,1.04,1.03,1.04,0.91,0.82,1.25,1.24,1.23,1.17,1.13
肺炎,0.89,0.88,0.89,0.94,0.97,0.77,0.73,0.73,0.74,0.74
不慮の事故,0.78,0.60,0.45,0.26,0.19,0.43,0.32,0.26,0.20,0.15
（再掲）交通事故,0.30,0.21,0.13,0.06,0.03,0.14,0.09,0.05,0.03,0.02
自殺,1.07,1.04,0.59,0.13,0.06,0.33,0.30,0.18,0.07,0.04
腎不全,0.16,0.13,0.13,0.13,0.11,0.22,0.20,0.20,0.19,0.17
肝疾患,0.27,0.25,0.25,0.10,0.04,0.13,0.11,0.11,0.07,0.04
糖尿病,0.13,0.11,0.11,0.07,0.04,0.11,0.09,0.09,0.08,0.07
高血圧性疾患,0.05,0.03,0.03,0.03,0.02,0.08,0.06,0.06,0.06,0.07
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.44,8.43,8.34,6.80,5.25,7.83,7.81,7.68,6.59,5.76

