

平成１７年,都道府県別生命表,,（年）

表33003　特定死因を除去した場合の平均余命の延び　－岡山県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.86,3.81,3.80,2.91,1.94,2.78,2.74,2.66,1.88,1.33
心疾患,1.51,1.46,1.40,1.12,0.94,1.78,1.73,1.71,1.64,1.55
脳血管疾患,1.15,1.11,1.10,0.95,0.85,1.36,1.35,1.34,1.26,1.18
肺炎,1.09,1.05,1.06,1.12,1.17,0.96,0.93,0.93,0.95,0.95
不慮の事故,0.84,0.72,0.51,0.31,0.24,0.45,0.40,0.33,0.26,0.21
（再掲）交通事故,0.39,0.29,0.15,0.07,0.04,0.15,0.12,0.08,0.05,0.03
自殺,0.77,0.69,0.40,0.07,0.03,0.28,0.25,0.13,0.04,0.02
腎不全,0.20,0.16,0.16,0.16,0.14,0.23,0.21,0.21,0.21,0.20
肝疾患,0.28,0.24,0.23,0.11,0.06,0.13,0.11,0.11,0.08,0.06
糖尿病,0.17,0.13,0.13,0.09,0.05,0.14,0.12,0.12,0.10,0.08
高血圧性疾患,0.06,0.02,0.02,0.03,0.03,0.06,0.04,0.04,0.04,0.04
結核,0.06,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,8.02,7.97,7.90,6.42,4.95,7.56,7.50,7.39,6.37,5.53

