

平成１７年,都道府県別生命表,,（年）

表34003　特定死因を除去した場合の平均余命の延び　－広島県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.17,4.14,4.12,3.15,2.09,3.05,3.01,2.92,2.10,1.47
心疾患,1.60,1.57,1.50,1.22,1.04,1.88,1.84,1.82,1.73,1.63
脳血管疾患,1.03,1.02,1.02,0.87,0.79,1.27,1.25,1.25,1.16,1.09
肺炎,0.94,0.92,0.93,0.97,1.02,0.93,0.91,0.92,0.94,0.96
不慮の事故,0.69,0.59,0.43,0.27,0.21,0.41,0.35,0.29,0.22,0.18
（再掲）交通事故,0.27,0.22,0.13,0.06,0.03,0.14,0.11,0.07,0.04,0.03
自殺,0.75,0.71,0.45,0.09,0.04,0.32,0.29,0.18,0.07,0.03
腎不全,0.17,0.15,0.15,0.15,0.14,0.22,0.20,0.20,0.19,0.19
肝疾患,0.28,0.26,0.25,0.11,0.06,0.15,0.12,0.12,0.09,0.07
糖尿病,0.14,0.12,0.12,0.10,0.07,0.13,0.11,0.11,0.10,0.08
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.08,0.06,0.05,0.06,0.06
結核,0.04,0.03,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.48,8.45,8.36,6.81,5.25,7.88,7.84,7.72,6.61,5.69

