

平成１７年,都道府県別生命表,,（年）

表35003　特定死因を除去した場合の平均余命の延び　－山口県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.13,4.09,4.08,3.12,2.03,3.00,2.97,2.86,1.97,1.33
心疾患,1.61,1.54,1.47,1.12,0.94,1.75,1.71,1.70,1.60,1.50
脳血管疾患,1.14,1.09,1.08,0.94,0.84,1.42,1.39,1.39,1.30,1.22
肺炎,1.02,0.98,1.00,1.04,1.07,1.00,0.98,0.98,1.00,1.01
不慮の事故,0.67,0.56,0.39,0.22,0.16,0.33,0.28,0.23,0.18,0.15
（再掲）交通事故,0.35,0.26,0.14,0.05,0.03,0.14,0.10,0.07,0.04,0.03
自殺,0.84,0.79,0.43,0.08,0.04,0.38,0.32,0.20,0.07,0.03
腎不全,0.18,0.14,0.14,0.14,0.13,0.20,0.18,0.17,0.17,0.16
肝疾患,0.27,0.23,0.23,0.10,0.05,0.15,0.12,0.12,0.09,0.05
糖尿病,0.16,0.12,0.11,0.08,0.05,0.12,0.10,0.10,0.08,0.07
高血圧性疾患,0.06,0.02,0.02,0.02,0.02,0.08,0.05,0.05,0.05,0.06
結核,0.06,0.03,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.01
３大死因,8.52,8.45,8.37,6.75,5.11,7.83,7.79,7.66,6.48,5.52

