

平成１７年,都道府県別生命表,,（年）

表36003　特定死因を除去した場合の平均余命の延び　－徳島県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.89,3.84,3.81,2.90,1.92,2.87,2.80,2.74,1.89,1.28
心疾患,1.60,1.52,1.47,1.19,1.04,1.82,1.78,1.76,1.69,1.59
脳血管疾患,1.11,1.09,1.09,0.92,0.81,1.27,1.26,1.26,1.17,1.10
肺炎,1.00,0.96,0.95,1.01,1.03,0.99,0.97,0.97,0.99,1.01
不慮の事故,0.86,0.74,0.50,0.30,0.21,0.44,0.38,0.33,0.25,0.18
（再掲）交通事故,0.37,0.29,0.16,0.08,0.04,0.16,0.12,0.10,0.06,0.03
自殺,0.64,0.59,0.35,0.07,0.03,0.27,0.24,0.14,0.04,0.02
腎不全,0.21,0.19,0.19,0.16,0.15,0.25,0.23,0.23,0.22,0.19
肝疾患,0.32,0.29,0.28,0.12,0.05,0.14,0.12,0.12,0.09,0.06
糖尿病,0.22,0.19,0.19,0.13,0.08,0.18,0.16,0.16,0.14,0.11
高血圧性疾患,0.07,0.04,0.04,0.04,0.04,0.08,0.07,0.07,0.07,0.07
結核,0.06,0.03,0.04,0.03,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.19,8.10,8.02,6.51,5.03,7.39,7.30,7.22,6.11,5.21

