

平成１７年,都道府県別生命表,,（年）

表37003　特定死因を除去した場合の平均余命の延び　－香川県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.85,3.84,3.84,3.01,2.03,2.94,2.91,2.81,2.01,1.44
心疾患,1.70,1.65,1.61,1.23,1.00,1.82,1.80,1.79,1.72,1.62
脳血管疾患,0.95,0.92,0.92,0.78,0.69,1.17,1.15,1.14,1.06,0.98
肺炎,1.08,1.06,1.06,1.09,1.11,1.03,1.02,1.01,1.03,1.04
不慮の事故,0.95,0.75,0.50,0.31,0.23,0.47,0.39,0.35,0.27,0.20
（再掲）交通事故,0.48,0.36,0.18,0.09,0.05,0.17,0.13,0.11,0.07,0.04
自殺,0.73,0.69,0.39,0.07,0.03,0.30,0.27,0.16,0.05,0.02
腎不全,0.19,0.17,0.17,0.16,0.15,0.25,0.23,0.23,0.22,0.21
肝疾患,0.27,0.24,0.24,0.11,0.05,0.16,0.14,0.13,0.10,0.06
糖尿病,0.17,0.15,0.15,0.10,0.07,0.14,0.12,0.12,0.10,0.08
高血圧性疾患,0.04,0.02,0.02,0.02,0.02,0.07,0.05,0.05,0.05,0.05
結核,0.04,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,7.98,7.94,7.91,6.40,4.89,7.49,7.46,7.34,6.30,5.44

