

平成１７年,都道府県別生命表,,（年）

表38003　特定死因を除去した場合の平均余命の延び　－愛媛県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.85,3.82,3.80,2.85,1.93,2.87,2.84,2.76,1.88,1.33
心疾患,1.96,1.94,1.86,1.43,1.20,2.07,2.04,2.02,1.89,1.76
脳血管疾患,1.05,1.02,1.03,0.90,0.79,1.23,1.21,1.21,1.14,1.09
肺炎,0.91,0.89,0.88,0.93,0.95,0.92,0.92,0.92,0.94,0.95
不慮の事故,0.89,0.76,0.53,0.30,0.21,0.47,0.40,0.33,0.24,0.19
（再掲）交通事故,0.33,0.27,0.15,0.07,0.04,0.16,0.13,0.09,0.05,0.03
自殺,0.86,0.81,0.47,0.10,0.04,0.39,0.35,0.18,0.06,0.03
腎不全,0.18,0.15,0.15,0.15,0.13,0.21,0.20,0.20,0.19,0.18
肝疾患,0.29,0.26,0.26,0.10,0.05,0.13,0.11,0.11,0.08,0.05
糖尿病,0.15,0.12,0.12,0.08,0.05,0.13,0.12,0.12,0.10,0.08
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.06,0.05,0.05,0.05,0.05
結核,0.04,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01
３大死因,8.61,8.60,8.51,6.82,5.29,7.90,7.85,7.74,6.57,5.72

