

平成１７年,都道府県別生命表,,（年）

表39003　特定死因を除去した場合の平均余命の延び　－高知県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.92,3.91,3.89,3.00,1.97,2.96,2.93,2.81,1.93,1.37
心疾患,1.63,1.60,1.54,1.23,1.03,1.83,1.79,1.77,1.68,1.60
脳血管疾患,1.31,1.30,1.29,1.07,0.96,1.50,1.47,1.46,1.35,1.28
肺炎,0.91,0.89,0.89,0.95,0.97,0.95,0.92,0.93,0.93,0.93
不慮の事故,1.02,0.86,0.66,0.38,0.26,0.45,0.38,0.33,0.26,0.20
（再掲）交通事故,0.35,0.26,0.17,0.07,0.04,0.16,0.10,0.08,0.05,0.03
自殺,0.94,0.90,0.61,0.11,0.04,0.42,0.36,0.19,0.07,0.03
腎不全,0.18,0.17,0.18,0.17,0.16,0.24,0.21,0.21,0.20,0.19
肝疾患,0.33,0.32,0.31,0.10,0.05,0.17,0.13,0.12,0.08,0.06
糖尿病,0.13,0.12,0.12,0.09,0.06,0.14,0.11,0.11,0.09,0.07
高血圧性疾患,0.03,0.02,0.02,0.02,0.01,0.08,0.04,0.04,0.05,0.05
結核,0.03,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01
３大死因,8.77,8.77,8.68,7.09,5.49,8.23,8.20,8.06,6.88,6.07

