

平成１７年,都道府県別生命表,,（年）

表40003　特定死因を除去した場合の平均余命の延び　－福岡県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.47,4.44,4.43,3.47,2.32,3.43,3.39,3.30,2.36,1.65
心疾患,1.26,1.22,1.18,0.98,0.84,1.52,1.49,1.48,1.44,1.39
脳血管疾患,1.01,0.99,0.99,0.85,0.76,1.21,1.19,1.19,1.11,1.06
肺炎,1.02,0.99,1.00,1.05,1.10,0.99,0.97,0.97,1.00,1.02
不慮の事故,0.72,0.62,0.47,0.30,0.23,0.44,0.38,0.33,0.27,0.22
（再掲）交通事故,0.27,0.20,0.11,0.04,0.03,0.12,0.08,0.05,0.03,0.02
自殺,0.92,0.86,0.55,0.10,0.04,0.35,0.30,0.17,0.05,0.02
腎不全,0.16,0.13,0.13,0.13,0.12,0.22,0.20,0.20,0.20,0.19
肝疾患,0.28,0.26,0.25,0.10,0.05,0.15,0.12,0.11,0.08,0.06
糖尿病,0.17,0.14,0.14,0.09,0.05,0.13,0.11,0.11,0.10,0.08
高血圧性疾患,0.08,0.06,0.06,0.05,0.04,0.12,0.09,0.09,0.10,0.09
結核,0.05,0.03,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0.01
３大死因,8.34,8.31,8.26,6.85,5.24,7.82,7.78,7.67,6.53,5.61

