

平成１７年,都道府県別生命表,,（年）

表41003　特定死因を除去した場合の平均余命の延び　－佐賀県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.41,4.42,4.40,3.45,2.26,3.48,3.43,3.31,2.36,1.72
心疾患,1.41,1.39,1.33,1.06,0.91,1.58,1.56,1.56,1.51,1.47
脳血管疾患,1.07,1.06,1.05,0.90,0.81,1.29,1.28,1.28,1.20,1.15
肺炎,0.96,0.93,0.95,0.99,1.05,0.98,0.96,0.96,0.97,0.97
不慮の事故,0.75,0.66,0.49,0.27,0.20,0.45,0.37,0.33,0.26,0.19
（再掲）交通事故,0.33,0.26,0.17,0.07,0.05,0.16,0.11,0.09,0.07,0.04
自殺,1.02,0.98,0.57,0.11,0.04,0.28,0.26,0.17,0.05,0.03
腎不全,0.12,0.10,0.10,0.10,0.09,0.18,0.16,0.16,0.16,0.15
肝疾患,0.24,0.23,0.22,0.11,0.05,0.14,0.12,0.11,0.09,0.06
糖尿病,0.16,0.14,0.13,0.08,0.05,0.13,0.11,0.11,0.10,0.08
高血圧性疾患,0.06,0.04,0.04,0.04,0.04,0.10,0.08,0.08,0.09,0.09
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01
３大死因,8.58,8.61,8.53,7.00,5.31,8.25,8.21,8.08,6.91,6.07

