

平成１７年,都道府県別生命表,,（年）

表42003　特定死因を除去した場合の平均余命の延び　－長崎県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.31,4.29,4.26,3.25,2.22,3.26,3.25,3.14,2.22,1.59
心疾患,1.47,1.44,1.39,1.12,0.97,1.85,1.80,1.80,1.72,1.64
脳血管疾患,1.14,1.11,1.10,0.92,0.80,1.27,1.24,1.24,1.14,1.05
肺炎,0.95,0.93,0.93,0.98,1.02,1.00,0.96,0.96,0.99,1.00
不慮の事故,0.70,0.62,0.44,0.23,0.16,0.38,0.31,0.27,0.20,0.15
（再掲）交通事故,0.24,0.19,0.09,0.04,0.03,0.09,0.06,0.04,0.03,0.01
自殺,1.01,0.95,0.58,0.10,0.04,0.35,0.28,0.17,0.05,0.03
腎不全,0.16,0.13,0.13,0.13,0.13,0.22,0.19,0.19,0.19,0.18
肝疾患,0.25,0.23,0.22,0.09,0.04,0.13,0.10,0.10,0.08,0.05
糖尿病,0.12,0.10,0.10,0.07,0.05,0.12,0.09,0.08,0.07,0.06
高血圧性疾患,0.06,0.04,0.04,0.04,0.03,0.10,0.08,0.08,0.08,0.08
結核,0.04,0.02,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0.01
３大死因,8.64,8.63,8.54,6.92,5.38,8.25,8.22,8.10,6.89,5.97

