

平成１７年,都道府県別生命表,,（年）

表43003　特定死因を除去した場合の平均余命の延び　－熊本県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.88,3.87,3.85,2.99,2.03,3.01,2.99,2.89,2.06,1.46
心疾患,1.47,1.42,1.39,1.13,0.96,1.73,1.70,1.69,1.63,1.57
脳血管疾患,1.12,1.12,1.10,0.90,0.79,1.29,1.27,1.27,1.15,1.05
肺炎,0.96,0.93,0.94,1.00,1.04,0.90,0.88,0.88,0.90,0.91
不慮の事故,0.73,0.62,0.46,0.27,0.20,0.38,0.32,0.28,0.20,0.16
（再掲）交通事故,0.29,0.22,0.13,0.06,0.04,0.12,0.08,0.06,0.04,0.02
自殺,0.93,0.89,0.55,0.10,0.04,0.33,0.30,0.19,0.06,0.03
腎不全,0.18,0.17,0.17,0.16,0.16,0.24,0.22,0.22,0.22,0.21
肝疾患,0.26,0.25,0.24,0.10,0.04,0.13,0.11,0.11,0.08,0.06
糖尿病,0.14,0.12,0.12,0.08,0.05,0.12,0.10,0.10,0.09,0.08
高血圧性疾患,0.04,0.03,0.03,0.03,0.03,0.08,0.06,0.06,0.07,0.07
結核,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01
３大死因,8.06,8.03,7.97,6.50,5.06,7.69,7.66,7.54,6.45,5.57

