

平成１７年,都道府県別生命表,,（年）

表44003　特定死因を除去した場合の平均余命の延び　－大分県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.92,3.88,3.85,2.94,1.98,2.97,2.94,2.81,1.96,1.41
心疾患,1.51,1.48,1.43,1.17,1.01,1.65,1.63,1.62,1.55,1.47
脳血管疾患,1.12,1.10,1.08,0.92,0.82,1.30,1.28,1.27,1.17,1.09
肺炎,0.90,0.88,0.89,0.95,0.97,0.83,0.82,0.82,0.84,0.84
不慮の事故,0.75,0.64,0.49,0.28,0.19,0.37,0.33,0.27,0.21,0.17
（再掲）交通事故,0.30,0.23,0.15,0.06,0.03,0.15,0.12,0.07,0.04,0.02
自殺,0.89,0.84,0.52,0.09,0.04,0.33,0.29,0.17,0.06,0.03
腎不全,0.17,0.15,0.16,0.14,0.13,0.21,0.19,0.19,0.19,0.18
肝疾患,0.22,0.20,0.19,0.08,0.04,0.14,0.12,0.11,0.08,0.06
糖尿病,0.15,0.13,0.13,0.09,0.07,0.13,0.11,0.11,0.10,0.07
高血圧性疾患,0.06,0.04,0.04,0.03,0.03,0.09,0.07,0.07,0.08,0.08
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.19,8.16,8.06,6.58,5.16,7.60,7.59,7.43,6.32,5.49

