

平成１７年,都道府県別生命表,,（年）

表46003　特定死因を除去した場合の平均余命の延び　－鹿児島県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,3.95,3.91,3.88,2.95,1.97,2.81,2.74,2.66,1.87,1.33
心疾患,1.47,1.42,1.38,1.08,0.90,1.69,1.66,1.65,1.57,1.49
脳血管疾患,1.26,1.24,1.21,1.03,0.89,1.56,1.52,1.52,1.38,1.26
肺炎,0.96,0.93,0.95,0.99,1.03,0.97,0.93,0.94,0.95,0.94
不慮の事故,0.83,0.66,0.49,0.27,0.20,0.47,0.34,0.29,0.22,0.16
（再掲）交通事故,0.34,0.24,0.14,0.06,0.03,0.15,0.09,0.07,0.05,0.03
自殺,0.94,0.89,0.55,0.12,0.04,0.35,0.30,0.20,0.06,0.03
腎不全,0.21,0.19,0.19,0.16,0.15,0.27,0.24,0.24,0.23,0.21
肝疾患,0.29,0.26,0.26,0.09,0.05,0.15,0.11,0.11,0.08,0.05
糖尿病,0.18,0.15,0.14,0.09,0.06,0.16,0.13,0.13,0.11,0.09
高血圧性疾患,0.05,0.03,0.03,0.02,0.02,0.10,0.06,0.06,0.06,0.06
結核,0.05,0.02,0.02,0.02,0.02,0.05,0.01,0.01,0.01,0.01
３大死因,8.29,8.24,8.15,6.56,5.04,7.71,7.65,7.55,6.45,5.58

