

平成１７年,都道府県別生命表,,（年）

表47003　特定死因を除去した場合の平均余命の延び　－沖縄県－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.05,4.03,4.02,3.27,2.35,3.16,3.14,3.07,2.20,1.62
心疾患,1.53,1.48,1.44,1.11,0.91,1.80,1.76,1.74,1.63,1.53
脳血管疾患,1.09,1.08,1.06,0.84,0.71,1.05,1.04,1.04,0.90,0.82
肺炎,1.04,1.01,1.01,1.05,1.07,1.09,1.07,1.07,1.10,1.12
不慮の事故,0.72,0.60,0.41,0.21,0.15,0.34,0.28,0.22,0.15,0.13
（再掲）交通事故,0.26,0.19,0.09,0.04,0.02,0.09,0.06,0.04,0.02,0.02
自殺,1.01,0.98,0.60,0.11,0.05,0.31,0.29,0.17,0.04,0.02
腎不全,0.16,0.15,0.15,0.13,0.10,0.22,0.21,0.21,0.22,0.21
肝疾患,0.47,0.46,0.43,0.13,0.06,0.21,0.20,0.18,0.12,0.08
糖尿病,0.19,0.18,0.17,0.12,0.08,0.20,0.19,0.19,0.17,0.13
高血圧性疾患,0.05,0.04,0.04,0.02,0.02,0.08,0.07,0.07,0.07,0.06
結核,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02
３大死因,8.14,8.09,8.03,6.58,5.12,7.38,7.33,7.24,6.02,5.16

