,model_number,classes_number,CancerM,CardioM,CerebroM,PneumoniaM,AccidentM,TrafficM,SuicideM,KidneyM,CPROB1,CPROB2,CPROB3,CPROB4,Class
1,　北海道,4,2.620675248,0.441441831,-0.351434195,0.140618165,0.0745728,-0.206418914,0.603727067,2.223838883,0.999942409,2.71E-05,2.98E-05,6.81E-07,1
2,　青　森,4,1.007314651,1.460840742,1.088156337,0.53716139,1.136670257,-1.419130035,1.024099988,1.793713667,0.999789536,0.000199648,1.08E-05,1.87E-08,1
36,　徳　島,4,-0.272247203,-0.697886363,-0.881809654,0.404980315,0.393202037,-0.691503363,-2.023603687,2.653964099,0.998905725,0.000882178,0.000212096,1.53E-09,1
38,　愛　媛,4,0.562249658,2.540204295,-0.578737963,0.404980315,0.499411783,-1.176587811,-0.972671386,1.363588451,0.998567938,0.000302714,0.001129339,8.62E-09,1
3,　岩　手,4,0.061551542,1.220982175,2.830818559,-0.123743985,0.393202037,0.521207758,2.28521875,-0.356912413,2.54E-06,0.998294918,0.000559679,0.001142858,2
5,　秋　田,4,1.174214023,-0.038275303,1.542763873,0.933704614,0.924250766,0.03612331,1.339379678,0.503338019,0.017882494,0.946136547,0.002578654,0.033402305,2
7,　福　島,4,-0.717312195,1.460840742,0.860852569,-1.049011509,0.605621528,0.03612331,0.498633837,0.073212803,0.00010942,0.995042999,0.00480531,4.23E-05,2
8,　茨　城,4,-0.884211568,-0.338098512,0.936620491,-0.123743985,0.605621528,1.976461104,-0.026832314,0.073212803,1.39E-08,0.999937,6.00E-06,5.70E-05,2
9,　栃　木,4,-1.273643436,0.921158966,1.46699595,-0.25592506,-0.137846691,1.733918879,-0.342112005,0.073212803,4.58E-08,0.999873928,0.00012402,2.01E-06,2
16,　富　山,4,-0.216614079,-1.717285274,0.709316723,-0.52028721,1.667718985,0.521207758,-0.342112005,-0.356912413,5.63E-07,0.959671533,8.36E-05,0.040244345,2
18,　福　井,4,-0.995477816,-0.458027796,-0.957577576,1.462428914,0.924250766,0.278665534,0.288447376,0.933463235,0.001040895,0.998128489,0.000765596,6.50E-05,2
19,　山　梨,4,-0.884211568,-0.278133871,-0.048362504,-1.445554734,-0.456475928,0.278665534,1.759752599,0.503338019,2.57E-05,0.923335928,0.076246242,0.00039214,2
20,　長　野,4,-2.497572165,-1.057674214,1.618531796,-2.238641184,0.924250766,1.491376655,0.288447376,-0.787037629,2.37E-12,0.999982962,1.96E-06,1.51E-05,2
21,　岐　阜,4,-1.162377188,0.321512548,-0.957577576,-0.123743985,1.56150924,1.006292207,-1.182857846,0.503338019,1.71E-05,0.999958416,1.57E-05,8.77E-06,2
24,　三　重,4,-1.32927656,0.141618622,-0.730273808,0.00843709,0.81804102,0.763749983,-1.918510457,0.503338019,3.79E-05,0.999184772,0.000771205,6.12E-06,2
33,　岡　山,4,-0.884211568,-0.757851005,0.027405419,1.330247839,0.286992291,1.006292207,-0.131925544,-0.787037629,2.76E-08,0.983483069,0.004004756,0.012512148,2
34,　広　島,4,0.284084038,1.04108825,-0.654505886,0.140618165,0.605621528,1.248834431,-0.552298465,0.073212803,9.51E-05,0.99676755,0.001516944,0.001620365,2
35,　山　口,4,-0.494779699,0.681300399,-0.048362504,1.065885689,-0.775105165,0.763749983,-0.131925544,-0.356912413,4.76E-06,0.6094412,0.389294137,0.0012599,2
37,　香　川,4,-0.327880327,1.520805384,-1.563720958,-2.238641184,-0.137846691,1.733918879,-0.026832314,0.933463235,0.000138155,0.998281523,0.001567992,1.23E-05,2
39,　高　知,4,0.339717162,0.561371115,1.012388414,1.198066764,2.304977459,1.491376655,0.288447376,0.933463235,0.000223588,0.999741202,3.82E-08,3.52E-05,2
44,　大　分,4,-0.105347831,-0.997709572,0.027405419,0.140618165,0.393202037,0.278665534,0.183354146,0.933463235,0.002482764,0.986673427,0.009725132,0.001118677,2
45,　宮　崎,4,-0.772945319,0.261547906,0.406245032,0.27279924,0.711831274,-0.206418914,0.813913527,0.073212803,0.000114736,0.990918753,0.008454212,0.000512299,2
46,　鹿児島,4,-0.661679071,-0.278133871,1.315460105,1.858972139,1.136670257,0.521207758,-0.552298465,0.933463235,0.000521565,0.999419595,4.93E-05,9.51E-06,2
47,　沖　縄,4,-1.440542808,0.321512548,0.482012955,0.00843709,-0.244056437,-0.206418914,1.339379678,-0.787037629,2.81E-07,0.743124678,0.25545854,0.001416501,2
