,model_number,classes_number,CancerF,CardioF,CerebroF,PneumoniaF,AccidentF,TrafficF,SuicideF,KidneyF,CPROB1,CPROB2,CPROB3,CPROB4,Class
1,　北海道,4,3.532866356,-0.018150464,-0.262589958,-0.026558813,0.495008897,0.015298117,1.247946427,2.015394183,0.987810435,0.000143726,0.012036251,9.59E-06,1
2,　青　森,4,2.477657068,0.059401517,0.588563699,0.666921304,1.71950459,0.734309607,-0.067154068,1.492059782,0.999686509,1.39E-05,9.71E-06,0.00028989,1
8,　茨　城,4,-0.009621969,-0.173254425,0.907746321,1.499097444,-0.239688519,0.734309607,0.195866031,-1.124612224,0.585055279,0.11608197,0.288867531,0.009995221,1
35,　山　口,4,0.065750123,1.687993113,-0.262589958,1.637793467,-0.729486796,0.015298117,-0.856214365,0.968725381,0.957341152,1.32E-06,0.042553368,0.000104162,1
36,　徳　島,4,-1.14020335,-0.63856631,-0.794560994,2.053881537,0.984807175,0.734309607,-0.593194266,0.968725381,0.979735567,1.32E-06,0.000111371,0.020151745,1
39,　高　知,4,-0.084994061,0.990025286,0.375775285,1.77648949,0.739908036,0.734309607,-1.119234464,2.015394183,0.999467311,1.27E-08,4.89E-06,0.000527782,1
41,　佐　賀,4,0.442610583,-0.561014329,-0.688166787,1.36040142,0.00521062,0.734309607,-0.856214365,0.44539098,0.989186652,8.01E-05,0.006957946,0.003775266,1
42,　長　崎,4,1.271703595,0.214505479,-1.113743616,0.805617327,0.00521062,-0.703713373,-2.697355058,0.44539098,0.896530524,0.000545848,0.102886464,3.72E-05,1
45,　宮　崎,4,0.291866399,1.222681228,0.801352114,1.221705397,0.250109759,1.453321097,-0.067154068,0.968725381,0.966340152,3.45E-06,0.000205093,0.0334513,1
46,　鹿児島,4,-0.763342889,0.292057459,0.588563699,1.637793467,0.739908036,-0.703713373,-0.330174167,1.492059782,0.99624367,4.64E-05,0.003645817,6.41E-05,1
3,　岩　手,4,1.196331503,0.602265382,3.142024672,-0.858734953,0.00521062,-0.703713373,-0.067154068,-0.077943421,8.37E-05,0.99721923,0.002696888,1.80E-07,2
4,　宮　城,4,0.291866399,0.059401517,1.546111564,-1.413519046,-0.484587657,-0.703713373,1.247946427,-0.601277823,5.35E-07,0.980613484,0.019385704,2.77E-07,2
5,　秋　田,4,0.593354767,-1.879398001,2.184476807,-0.442646883,0.984807175,0.015298117,-0.856214365,-0.601277823,4.30E-05,0.99993014,2.25E-05,4.41E-06,2
