"","PNAME","JCODE","CancerM","CardioM","CerebroM","PneumoniaM","AccidentM","TrafficM","SuicideM","KidneyM","LiverM","DiabetesM","HypertensM","TBM","CancerF","CardioF","CerebroF","PneumoniaF","AccidentF","TrafficF","SuicideF","KidneyF","LiverF","DiabetesF","HypertensF","TBF"
"1","Hokkaido",1,4.15,1.41,0.75,0.84,0.48,0.13,0.67,0.2,0.18,0.12,0.03,0.01,3.31,1.45,0.73,0.64,0.27,0.05,0.29,0.19,0.12,0.1,0.04,0.01
"2","Aomori",2,4.07,1.47,0.92,0.89,0.6,0.15,0.66,0.18,0.23,0.16,0.02,0.01,3.15,1.35,0.91,0.69,0.34,0.07,0.26,0.18,0.11,0.12,0.03,0.01
"3","Iwate",3,3.61,1.74,1.11,0.74,0.61,0.19,0.77,0.14,0.2,0.11,0.03,0.01,2.89,1.52,1.09,0.54,0.34,0.1,0.34,0.15,0.09,0.09,0.04,0.01
"4","Miyagi",4,3.74,1.5,0.94,0.67,0.46,0.14,0.69,0.13,0.19,0.1,0.04,0.01,2.8,1.31,0.9,0.48,0.25,0.03,0.29,0.13,0.1,0.08,0.05,0.01
"5","Akita",5,4.03,1.29,0.98,0.76,0.54,0.11,0.82,0.14,0.2,0.11,0.03,0,2.99,1.21,0.97,0.54,0.36,0.06,0.34,0.14,0.08,0.1,0.04,0
"6","Yamagata",6,3.69,1.42,0.88,0.76,0.51,0.16,0.74,0.17,0.15,0.08,0.02,0.01,2.79,1.27,0.96,0.52,0.29,0.05,0.28,0.15,0.1,0.06,0.03,0.01
"7","Fukushima",7,3.56,1.68,0.87,0.73,0.52,0.15,0.74,0.14,0.19,0.13,0.03,0.01,2.84,1.5,0.93,0.54,0.3,0.07,0.29,0.14,0.1,0.1,0.05,0
"8","Ibaraki",8,3.73,1.43,0.91,0.86,0.47,0.21,0.65,0.15,0.19,0.12,0.02,0.01,2.88,1.41,0.87,0.72,0.3,0.08,0.29,0.14,0.11,0.1,0.04,0.01
"9","Tochigi",9,3.6,1.59,0.95,0.79,0.44,0.17,0.67,0.16,0.18,0.12,0.02,0.01,2.82,1.47,0.97,0.64,0.24,0.07,0.28,0.15,0.11,0.1,0.04,0.01
"10","Gunma",10,3.58,1.58,0.83,0.87,0.45,0.11,0.71,0.14,0.18,0.13,0.05,0.01,2.76,1.4,0.82,0.71,0.28,0.06,0.34,0.13,0.12,0.09,0.04,0.01
"11","Saitama",11,3.68,1.58,0.76,0.96,0.35,0.11,0.6,0.15,0.16,0.12,0.03,0.01,2.87,1.53,0.75,0.76,0.21,0.04,0.29,0.14,0.11,0.09,0.03,0.01
"12","Chiba",12,3.67,1.79,0.77,0.89,0.4,0.13,0.64,0.13,0.17,0.11,0.05,0.02,2.82,1.6,0.77,0.71,0.23,0.05,0.31,0.12,0.09,0.08,0.05,0.01
"13","Tokyo",13,3.8,1.41,0.76,0.81,0.32,0.07,0.56,0.13,0.27,0.12,0.04,0.02,3.02,1.34,0.71,0.61,0.2,0.02,0.31,0.12,0.11,0.08,0.04,0.01
"14","Kanagawa",14,3.8,1.48,0.78,0.76,0.44,0.1,0.54,0.12,0.25,0.08,0.02,0.01,2.99,1.31,0.73,0.58,0.32,0.04,0.29,0.11,0.1,0.07,0.03,0.01
"15","Niigata",15,3.83,1.35,0.96,0.69,0.55,0.14,0.74,0.1,0.17,0.09,0.03,0.01,2.81,1.22,0.93,0.5,0.36,0.06,0.32,0.12,0.07,0.08,0.04,0.01
"16","Toyama",16,3.68,1.18,0.86,0.87,0.62,0.15,0.76,0.13,0.17,0.12,0.04,0.01,2.85,1.18,0.83,0.64,0.4,0.07,0.3,0.12,0.08,0.08,0.05,0.01
"17","Ishikawa",17,3.84,1.3,0.81,0.86,0.59,0.15,0.65,0.11,0.17,0.09,0.03,0.01,2.9,1.36,0.8,0.62,0.37,0.07,0.21,0.12,0.1,0.07,0.04,0
"18","Fukui",18,3.58,1.44,0.78,0.82,0.61,0.17,0.62,0.16,0.18,0.13,0.03,0.01,2.84,1.32,0.71,0.62,0.39,0.06,0.19,0.17,0.09,0.08,0.04,0
