"","PNAME","JCODE","CancerM","CardioM","CerebroM","Top3M","PneumoniaM","AccidentM","TrafficM","SuicideM","KidneyM","LiverM","DiabetesM","HypertensM","Covid19M","CancerF","CardioF","CerebroF","Top3F","PneumoniaF","AccidentF","TrafficF","SuicideF","KidneyF","LiverF","DiabetesF","HypertensF","Covid19F"
"1","Hokkaido",1,3.94,1.35,0.7,7.07,0.5,0.45,0.11,0.63,0.2,0.22,0.13,0.07,0.08,3.27,1.27,0.65,5.97,0.35,0.28,0.04,0.34,0.18,0.12,0.11,0.07,0.06
"2","Aomori",2,3.85,1.51,0.84,7.45,0.56,0.54,0.1,0.68,0.19,0.27,0.14,0.04,0,3.13,1.28,0.73,5.92,0.4,0.33,0.05,0.29,0.17,0.09,0.09,0.05,0.01
"3","Iwate",3,3.49,1.63,1.05,7.5,0.44,0.46,0.09,0.66,0.18,0.24,0.12,0.05,0.01,2.96,1.35,0.97,6.16,0.29,0.26,0.03,0.29,0.14,0.08,0.1,0.06,0.01
"4","Miyagi",4,3.55,1.46,0.9,7.05,0.38,0.4,0.1,0.66,0.14,0.2,0.11,0.05,0.02,2.84,1.28,0.82,5.72,0.25,0.24,0.03,0.34,0.13,0.1,0.07,0.06,0.01
"5","Akita",5,3.76,1.13,0.95,6.89,0.49,0.45,0.07,0.58,0.18,0.21,0.14,0.06,0,2.88,1.03,0.88,5.54,0.32,0.3,0.04,0.26,0.13,0.12,0.08,0.06,0.01
"6","Yamagata",6,3.46,1.56,0.81,6.95,0.44,0.38,0.07,0.72,0.18,0.18,0.07,0.03,0.01,2.72,1.29,0.75,5.49,0.28,0.26,0.05,0.28,0.14,0.11,0.06,0.04,0.01
"7","Fukushima",7,3.51,1.54,0.81,6.96,0.47,0.51,0.09,0.68,0.16,0.24,0.14,0.04,0.03,2.74,1.33,0.78,5.58,0.32,0.29,0.04,0.33,0.12,0.13,0.1,0.05,0.01
"8","Ibaraki",8,3.48,1.44,0.88,6.87,0.57,0.4,0.11,0.64,0.14,0.22,0.13,0.04,0.03,2.8,1.25,0.76,5.52,0.46,0.25,0.05,0.3,0.12,0.12,0.1,0.06,0.02
"9","Tochigi",9,3.39,1.62,0.9,7.1,0.51,0.39,0.13,0.6,0.15,0.23,0.13,0.03,0.03,2.78,1.3,0.81,5.63,0.34,0.21,0.03,0.37,0.13,0.12,0.09,0.05,0.01
"10","Gunma",10,3.24,1.48,0.74,6.47,0.56,0.37,0.08,0.68,0.16,0.18,0.13,0.19,0.02,2.74,1.3,0.69,5.45,0.41,0.24,0.03,0.36,0.13,0.12,0.09,0.12,0.02
"11","Saitama",11,3.41,1.54,0.65,6.58,0.61,0.29,0.08,0.52,0.16,0.2,0.11,0.05,0.07,2.83,1.4,0.63,5.55,0.46,0.19,0.03,0.33,0.14,0.11,0.08,0.04,0.05
"12","Chiba",12,3.45,1.57,0.71,6.72,0.56,0.34,0.09,0.56,0.15,0.2,0.14,0.15,0.07,2.79,1.35,0.65,5.45,0.41,0.2,0.03,0.34,0.12,0.1,0.09,0.11,0.04
"13","Tokyo",13,3.48,1.46,0.7,6.64,0.49,0.3,0.05,0.5,0.15,0.29,0.12,0.03,0.11,2.89,1.25,0.62,5.41,0.34,0.2,0.02,0.34,0.12,0.12,0.07,0.04,0.07
"14","Kanagawa",14,3.51,1.59,0.66,6.7,0.45,0.38,0.07,0.52,0.13,0.31,0.08,0.02,0.07,2.86,1.22,0.61,5.27,0.3,0.28,0.02,0.31,0.12,0.12,0.06,0.03,0.04
"15","Niigata",15,3.58,1.24,0.85,6.71,0.37,0.41,0.09,0.66,0.14,0.19,0.11,0.06,0.01,2.74,1.09,0.78,5.28,0.25,0.28,0.05,0.33,0.12,0.09,0.08,0.06,0.01
